MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross
All the Bright Places,(2020),"
Drama, Romance            ",6.5,"
The story of Violet and Theodore, who meet and change each other's lives forever. As they struggle with the emotional and physical scars of their past, they discover that even the smallest places and moments can mean something.","
    Director:
Brett Haley
| 
    Stars:
Elle Fanning, 
Justice Smith, 
Alexandra Shipp, 
Kelli O'Hara
","24,223",107,
Violet Evergarden,(2018),"
Animation, Drama, Fantasy            ",8.5,"
In the aftermath of a great war, Violet Evergarden, a young female ex-soldier, gets a job at a writers' agency and goes on assignments to create letters that can connect people.","
            
    Stars:
Yui Ishikawa, 
Raissa Bueno, 
Erika Harlacher, 
Aya Endô
","14,942",24,
CHIPS,(2017),"
Action, Comedy, Crime            ",6.0,"
A rookie officer is teamed with a hardened pro at the California Highway Patrol, though the newbie soon learns his partner is really an undercover Fed investigating a heist that may involve some crooked cops.","
    Director:
Dax Shepard
| 
    Stars:
Michael Peña, 
Dax Shepard, 
Vincent D'Onofrio, 
Rosa Salazar
","44,487",100,$18.60M
Tuca & Bertie,(2019–2021),"
Animation, Comedy            ",7.4,"
The story of two 30-year old bird women who live in the same apartment building.","
            
    Stars:
Tiffany Haddish, 
Ali Wong, 
Steven Yeun, 
Nicole Byer
","5,730",26,
Mako Mermaids,(2013–2016),"
Adventure, Comedy, Drama            ",6.8,"
A young man is magically turned a merman, and discovers his underwater origins, after he comes in contact with the magic waters at the mysterious Mako Island guarded by a trio of mermaids.","
            
    Stars:
Chai Hansen, 
Dominic Deutscher, 
Gemma Forsyth, 
Rowan Hills
","3,445",30,
The School for Good and Evil,(2022),"
Action, Drama, Fantasy            ",,"
A group of boys and girls are taken to an institution where they are trained to become fairy tale-like heroes and villains.","
    Director:
Paul Feig
| 
    Stars:
Charlize Theron, 
Michelle Yeoh, 
Laurence Fishburne, 
Kerry Washington
",,,
Security,(2021),"
Thriller            ",4.9,"
A winter's tale in which an incident disrupts the lives of its characters and changes them forever. When the fear lives inside homes and people, what is the price of security?","
    Director:
Peter Chelsom
| 
    Stars:
Marco D'Amore, 
Maya Sansa, 
Silvio Muccino, 
Valeria Bilello
","1,272",118,
Wanted,(2016–2018),"
Action, Crime, Drama            ",7.7,"
Two strangers are prime suspects in a murder.","
            
    Stars:
Rebecca Gibney, 
Geraldine Hakewill, 
Anthony Phelan, 
Nicholas Bell
","5,050",60,
Malevolent,(III) (2018),"
Horror, Mystery, Thriller            ",4.8,"
A team of scam artists get more than they bargained for when a job at a haunted country estate gets out of hand.","
    Director:
Olaf de Fleur Johannesson
| 
    Stars:
Florence Pugh, 
Ben Lloyd-Hughes, 
Scott Chambers, 
Georgina Bevan
","11,672",89,
Acts of Violence,(2018),"
Action, Crime            ",5.3,"
At a bachelorette party in a nightclub, the bride tells 2 guys offering blow to go away. They abduct her. The groom's 2 big brothers looked after their kid brother as kids and do so now again as veterans, ""looking"" for her and the 2 guys.","
    Director:
Brett Donowho
| 
    Stars:
Bruce Willis, 
Cole Hauser, 
Shawn Ashmore, 
Ashton Holmes
","11,683",86,
The Kissing Booth 2,(2020),"
Comedy, Romance            ",5.8,"
In the sequel to 2018's THE KISSING BOOTH, high school senior Elle juggles a long-distance relationship with her dreamy boyfriend Noah, college applications, and a new friendship with a handsome classmate that could change everything.","
    Director:
Vince Marcello
| 
    Stars:
Joey King, 
Joel Courtney, 
Jacob Elordi, 
Molly Ringwald
","24,006",134,
Da 5 Bloods,(2020),"
Adventure, Drama, War            ",6.5,"
Four African-American vets battle the forces of man and nature when they return to Vietnam seeking the remains of their fallen squad leader and the gold fortune he helped them hide.","
    Director:
Spike Lee
| 
    Stars:
Delroy Lindo, 
Jonathan Majors, 
Clarke Peters, 
Norm Lewis
","46,703",154,
Taken 3,(2014),"
Action, Crime, Thriller            ",6.0,"
Accused of a ruthless murder he never committed or witnessed, Bryan Mills goes on the run and brings out his particular set of skills to find the true killer and clear his name.","
    Director:
Olivier Megaton
| 
    Stars:
Liam Neeson, 
Forest Whitaker, 
Maggie Grace, 
Famke Janssen
","183,595",108,$89.26M
Roma,(2018),"
Drama            ",7.7,"
A year in the life of a middle-class family's maid in Mexico City in the early 1970s.","
    Director:
Alfonso Cuarón
| 
    Stars:
Yalitza Aparicio, 
Marina de Tavira, 
Diego Cortina Autrey, 
Carlos Peralta
","146,484",135,
Out of the Furnace,(2013),"
Action, Crime, Drama            ",6.8,"
When Rodney Baze mysteriously disappears and law enforcement doesn't follow through fast enough, his older brother, Russell, takes matters into his own hands to find justice.","
    Director:
Scott Cooper
| 
    Stars:
Christian Bale, 
Casey Affleck, 
Zoe Saldana, 
Woody Harrelson
","110,076",116,$11.33M
October Faction,(2020),"
Adventure, Drama, Fantasy            ",6.2,"
A semi-retired couple who work for a clandestine monster hunting agency discover dark family secrets and the truth about their employer after their magically inclined nigh adult kids reawaken a witch bent on revenge.","
            
    Stars:
Tamara Taylor, 
J.C. MacKenzie, 
Aurora Burghart, 
Gabriel Darku
","9,432",39,
Noah,(2014),"
Action, Adventure, Drama            ",5.7,"
Noah is chosen by God to undertake a momentous mission before an apocalyptic flood cleanses the world.","
    Director:
Darren Aronofsky
| 
    Stars:
Russell Crowe, 
Jennifer Connelly, 
Anthony Hopkins, 
Emma Watson
","247,033",138,$101.20M
Takers,(2010),"
Action, Crime, Thriller            ",6.2,"
A group of bank robbers find their multi-million dollar plan interrupted by a hard-boiled detective.","
    Director:
John Luessenhop
| 
    Stars:
Chris Brown, 
Hayden Christensen, 
Matt Dillon, 
Michael Ealy
","59,882",107,$57.74M
White Lines,(2020),"
Crime, Drama, Mystery            ",6.6,"
A woman tries to solve the mysterious death of her brother, a famous DJ who disappeared from Ibiza many years ago.","
            
    Stars:
Laura Haddock, 
Nuno Lopes, 
Marta Milans, 
Daniel Mays
","15,362",60,
Lord of War,(2005),"
Action, Crime, Drama            ",7.6,"
An arms dealer confronts the morality of his work as he is being chased by an INTERPOL Agent.","
    Director:
Andrew Niccol
| 
    Stars:
Nicolas Cage, 
Ethan Hawke, 
Jared Leto, 
Bridget Moynahan
","300,344",122,$24.15M
Blue Jasmine,(2013),"
Comedy, Drama            ",7.3,"
A New York socialite, deeply troubled and in denial, arrives in San Francisco to impose upon her sister. She looks a million, but isn't bringing money, peace, or love...","
    Director:
Woody Allen
| 
    Stars:
Cate Blanchett, 
Alec Baldwin, 
Peter Sarsgaard, 
Sally Hawkins
","195,580",98,$33.41M
Trouble,(I) (2019),"
Animation, Adventure, Comedy            ",5.9,"
A pampered dog named Trouble must learn to live in the real world, while trying to escape from his former owner's greedy children.","
    Director:
Kevin Johnson
| 
    Stars:
Big Sean, 
Pamela Adlon, 
Lucy Hale, 
Marissa Jaret Winokur
","2,729",87,
The Expendables 2,(2012),"
Action, Adventure, Thriller            ",6.6,"
Mr. Church reunites the Expendables for what should be an easy paycheck, but when one of their men is murdered on the job, their quest for revenge puts them deep in enemy territory and up against an unexpected threat.","
    Director:
Simon West
| 
    Stars:
Sylvester Stallone, 
Liam Hemsworth, 
Randy Couture, 
Jean-Claude Van Damme
","296,948",103,$85.02M
SAS: Red Notice,(2021),"
Action, Thriller            ",4.9,"
A small army of well trained criminals led by Grace Lewis have hijacked a train deep beneath the English Channel.","
    Director:
Magnus Martens
| 
    Stars:
Sam Heughan, 
Ruby Rose, 
Andy Serkis, 
Hannah John-Kamen
","6,563",124,
MILF,(2018),"
Comedy            ",4.7,"
Three best friends in their forties start a relationship with younger men while on vacation.","
    Director:
Axelle Laffont
| 
    Stars:
Marie-Josée Croze, 
Virginie Ledoyen, 
Axelle Laffont, 
Waël Sersoub
","5,187",101,
Seungriho,(2021),"
Action, Adventure, Drama            ",6.6,"
Set in the year 2092 and follows the crew of a space junk collector ship called The Victory. When they discover a humanoid robot named Dorothy that's known to be a weapon of mass destruction, they get involved in a risky business deal.","
    Director:
Sung-hee Jo
| 
    Stars:
Song Joong-ki, 
Kim Tae-ri, 
Jin Seon-kyu, 
Hae-Jin Yoo
","20,522",136,
El Chapo,(2017– ),"
Biography, Crime, Drama            ",7.8,"
A look at the life of notorious drug kingpin, El Chapo, from his early days in the 1980s working for the Guadalajara Cartel, to his rise to power during the '90s as the head of the Sinaloa Cartel and his ultimate downfall in 2016.","
            
    Stars:
Marco de la O, 
Humberto Busto, 
Diego Vásquez, 
Juan Carlos Cruz
","16,037",43,
Cuckoo,(II) (2012– ),"
Comedy            ",7.2,"
Cuckoo is every parent's worst nightmare - a slacker full of outlandish, New Age ideas.","
            
    Stars:
Greg Davies, 
Helen Baxendale, 
Tyger Drew-Honey, 
Kenneth Collard
","8,399",30,
Conan the Barbarian,(2011),"
Action, Adventure, Fantasy            ",5.2,"
A vengeful barbarian warrior sets off to get his revenge on the evil warlord who attacked his village and murdered his father when he was a boy.","
    Director:
Marcus Nispel
| 
    Stars:
Jason Momoa, 
Ron Perlman, 
Rose McGowan, 
Stephen Lang
","96,638",113,$21.30M
The Loud House,(2021),"
Animation, Adventure, Comedy            ",,"
With his parents and all 10 sisters in tow, Lincoln Loud heads to Scotland and learns that royalty runs in the family in this global musical journey.","
    Director:
Dave Needham
| 
    Stars:
David Tennant, 
Grey Griffin, 
Michelle Gomez, 
Billy Boyd
",,83,
What/If,(2019),"
Drama, Thriller            ",6.3,"
An anthology series which tackles a different morality tale, and the ripple effect of a single decision that changes the trajectory of an entire life.","
            
    Stars:
Jane Levy, 
Blake Jenner, 
Keith Powers, 
Samantha Marie Ware
","13,714",55,
Peppa Pig,(2004– ),"
Animation, Adventure, Comedy            ",6.2,"
A little pig named Peppa and her little brother George have journeys everyday with their family and friends.","
            
    Stars:
John Sparkes, 
Morwenna Banks, 
Richard Ridings, 
Oliver May
","4,125",9,
Battle of Britain,(1969),"
Action, Drama, History            ",7.0,"
In 1940, the British Royal Air Force fights a desperate battle to prevent the Luftwaffe from gaining air superiority over the English Channel as a prelude to a possible Axis invasion of the U.K.","
    Director:
Guy Hamilton
| 
    Stars:
Michael Caine, 
Trevor Howard, 
Harry Andrews, 
Curd Jürgens
","21,366",132,$4.36M
The Cloverfield Paradox,(2018),"
Action, Horror, Sci-Fi            ",5.5,"
Orbiting a planet on the brink of war, scientists test a device to solve an energy crisis, and end up face-to-face with a dark alternate reality.","
    Director:
Julius Onah
| 
    Stars:
Gugu Mbatha-Raw, 
David Oyelowo, 
Daniel Brühl, 
John Ortiz
","98,742",102,
Close Enough,(2020– ),"
Animation, Comedy, Drama            ",7.8,"
A comedic look on a couple facing various challenges in their daily lives while trying to cope with their changes from twenties to thirties.","
            
    Stars:
J.G. Quintel, 
Gabrielle Walsh, 
Jason Mantzoukas, 
Kimiko Glenn
","6,457",23,
The Rain,(2018–2020),"
Drama, Sci-Fi, Thriller            ",6.3,"
After a brutal virus wipes out most of the population, two young siblings embark on a perilous search for safety.","
            
    Stars:
Alba August, 
Lucas Lynggaard Tønnesen, 
Mikkel Boe Følsgaard, 
Lukas Løkken
","32,861",45,
River,(2015),"
Crime, Drama, Mystery            ",8.0,"
John River is a brilliant police inspector whose genius lies side-by-side with the fragility of his mind. He is a man haunted by the murder victims whose cases he must lay to rest.","
            
    Stars:
Stellan Skarsgård, 
Nicola Walker, 
Adeel Akhtar, 
Lesley Manville
","21,497",60,
2067,(2020),"
Sci-Fi            ",4.9,"
One man's journey to the future to save a dying world.","
    Director:
Seth Larney
| 
    Stars:
Aaron Glenane, 
Kodi Smit-McPhee, 
Ryan Kwanten, 
Finn Little
","6,977",114,
Begin Again,(II) (2013),"
Comedy, Drama, Music            ",7.4,"
A chance encounter between a down-and-out music-business executive and a young singer-songwriter, new to Manhattan, turns into a promising collaboration between the two talents.","
    Director:
John Carney
| 
    Stars:
Keira Knightley, 
Mark Ruffalo, 
Adam Levine, 
Hailee Steinfeld
","147,794",104,$16.17M
Newness,(2017),"
Drama, Romance            ",6.3,"
In contemporary Los Angeles, two millennials navigating a social media-driven hookup culture begin a relationship that pushes both emotional and physical boundaries.","
    Director:
Drake Doremus
| 
    Stars:
Nicholas Hoult, 
Laia Costa, 
Danny Huston, 
Courtney Eaton
","15,240",117,
The Invitation,(I) (2015),"
Drama, Mystery, Thriller            ",6.6,"
A man accepts an invitation to a dinner party hosted by his ex-wife, an unsettling affair that reopens old wounds and creates new tensions.","
    Director:
Karyn Kusama
| 
    Stars:
Logan Marshall-Green, 
Emayatzy Corinealdi, 
Michiel Huisman, 
Tammy Blanchard
","100,313",100,$0.23M
Eli,(I) (2019),"
Drama, Horror, Mystery            ",5.7,"
A boy receiving treatment for his auto-immune disorder discovers that the house he's living in isn't as safe as he thought.","
    Director:
Ciarán Foy
| 
    Stars:
Charlie Shotwell, 
Kelly Reilly, 
Max Martini, 
Lili Taylor
","31,499",98,
Flashdance,(1983),"
Drama, Music, Romance            ",6.2,"
A Pittsburgh woman with two jobs as a welder and an exotic dancer wants to get into ballet school.","
    Director:
Adrian Lyne
| 
    Stars:
Jennifer Beals, 
Michael Nouri, 
Lilia Skala, 
Sunny Johnson
","49,826",95,$94.90M
Hummingbird,(I) (2013),"
Action, Crime, Drama            ",6.2,"
A damaged ex-special forces soldier navigating London's criminal underworld seizes an opportunity to assume another man's identity.","
    Director:
Steven Knight
| 
    Stars:
Jason Statham, 
Agata Buzek, 
Vicky McClure, 
Benedict Wong
","68,546",100,$0.03M
